Name,M/R,Type,Passive,Q,W,E,R,#1 player,#2 player,#3 player,#4 player,#5 player
Blitzcrank,M,Tank/Fighter,"Mana Barrier: When Blitzcrank's life is brought below 20% health, he activates Mana Barrier. This creates a mana shield equal to 50% of his mana for 10 seconds. Mana Barrier can only occur once every 90 seconds.","Rocket Grab: Blitzcrank fires his right hand to grab an opponent on its path, dealing damage and dragging it back to him.",Overdrive: Blitzcrank super charges himself to get dramatically increased Movement and Attack Speed.,Powerfist: Blitzcrank charges up his fist to make his next attack deal double damage and pop his target up in the air.,"Static Field: Passively causes lightning bolts to damage a nearby enemy. Additionally, Blitzcrank can activate this ability to damage nearby enemies and silence them for 0.5 seconds, but doing so removes the passive lightning until Static Field becomes available again.",ScoobaTroopah #10000,Coach Bartzokas #Play,	Okay cool #KR1,,
Brand,R,Mage,"Blaze: Brand's spells light his targets ablaze, dealing 8% of their maximum Health in magic damage over 4 seconds.","Sear: Brand launches a ball of fire forward that deals magic damage. If the target is ablaze, Sear will stun the target for 2 seconds.","Pillar of Flame: After a short delay, Brand creates a pillar of flame at a target area, dealing magic damage to enemy units within the area. Units that are ablaze take an additional 25% damage.","Conflagration: Brand conjures a powerful blast at his target, dealing magic damage to them. If the target is ablaze, Conflagration spreads to nearby enemies.","Pyroclasm: Brand unleashes a devastating torrent of fire, dealing magic damage each time it bounces. If a target is ablaze, Pyroclasm will priotize champions for the next bounce.",	Димитърлда #EUp,	Vravess #BRAND,	TI BRAND #FIRE,,
Braum,M,Support/Tank,"Concussive Blows: Braum adds stacks of Concussive Blows to enemies with basic attacks or Winter's Bite. He and his allies continue to add stacks with basic attacks, at 4 stacks their target will be stunned.","Winter Bite: Braum propels freezing ice from his shield, slowing and dealing magic damage.","Stand Behind Me: Braum leaps to a target allied champion or minion. On arrival, Braum and the ally gain Armor and Magic Resist for a few seconds.","Unbreakable: Braum raises his shield in a direction for several seconds, intercepting all projectiles causing them to hit him and be destroyed. He negates the damage of the first attack completely and reduces the damage of all subsequent attacks from this direction.","Glacial Fissure: Braum slams the ground, knocking up enemies nearby and in a line in front of him. A fissure is left along the line that slows enemies.",Tyràńt #EUW,pumpkinpieftw #NA1,꾸준희 #KR1,,
Briar,,,,,,,,volumedown #VD1,Roar #Briar,	L0ganJG #069,,
Caitlyn,R,Marksman,"Headshot: Every few basic attacks, Caitlyn will fire a headshot dealing 150% damage to a champion or 250% damage to a minion. Headshots against champions will pierce through a portion of their bonus armor.",Piltover Peacemaker: Caitlyn revs up her rifle for 1 second to unleash a penetrating shot that deals physical damage (deals less damage to subsequent targets).,"Yordle Snap Trap: Caitlyn sets a trap to find sneaky yordles. When sprung, the trap immobilizes the champion, reveals them for a short duration, and deals magic damage over 1.5 seconds.",90 Caliber Net: Caitlyn fires a heavy net to slow her target. The recoil knocks Caitlyn back.,"Ace in the Hole: Caitlyn takes time to line up the perfect shot, dealing massive damage to a single target at a huge range. Enemy champions can intercept the bullet for their ally.",	MetroArcher #EUW,	Heretic #win,Évangelyne #BELGE,,
Camille,,,,,,,,月下沙利叶 #b9ii,AntÂ #9378,Hyperton #goat,,
Cassiopeia,R,Mage,Aspect of the Serpent: Cassiopeia gains stacks of Aspect of the Serpent over time and by poisoning enemy champions.,"Noxious Blast: Cassiopeia blasts an area with Poison after a brief delay, granting her increased Movement Speed if she hits an enemy champion.","Miasma: Cassiopeia releases a cloud of poison, lightly damaging and slowing any enemy that happens to pass through it.","Twin Fang: Cassiopeia lets loose a damaging attack at her target, increasing further Poison damage dealt to the target. If the target dies, Cassiopeia regains Mana. If the target is poisoned, the cooldown of this spell is refreshed.","Petrifying Gaze: Cassiopeia releases a swirl of magical energy from her eyes, stunning any enemies in front of her that are facing her and slowing any others with their back turned.",Pun1sher Reborn #EUW,	카 랑 #KR1,김민교 수제자 #KR1,,
Cho'Gath,M,Tank/Mage,"Carnivore: Whenever Cho'Gath kills a unit, he recovers Health and Mana. The values restored increase with Cho'Gath's level.","Rupture: Ruptures the ground at target location, popping enemy units into the air, dealing damage and slowing them.","Feral Scream: Cho'Gath unleashes a terrible scream at enemies in a cone, dealing magic damage and Silencing enemies for a few seconds.","Vorpal Spikes: Cho'Gath's attacks passively release deadly spikes, dealing damage to all enemy units in front of him.","Feast: Devours an enemy unit, dealing a high amount of true damage. If the target is killed, Cho'Gath grows, gaining maximum Health (maximum 6 stacks). Cho'Gath loses half of his stacks upon death. Half the cooldown and mana cost are refunded if a minion or monster is killed.",Mustafa #mudi,gimme resources #EUW,티라노 #5959,,
Corki,R,Marksman,"Hextech Shrapnel Shells: Corki's basic attacks deal bonus true damage to minions, monsters, and champions.","Phosphorus Bombs: Corki fires a flash bomb at a target location, dealing magic damage to enemies in the area. This attack additionally reveals units in the area for a duration.","Valkyrie: Corki surges to target location, dropping bombs that create a trail of destruction for opponents who remain in the fire.","Gatling Gun: Corki's gatling gun rapidly fires in a cone in front of him, dealing damage and reducing enemy Armor.","Missile Barrage: Corki fires a missile toward his target location that explodes on impact, dealing damage to enemies in an area. Corki stores missiles over time, up to a maximum. Every 3rd missile fired will be a Big One, dealing extra damage.",Asuka #爱鲤鲤,Nightstar x Lia #CN1,normale kartofel #devn,,
Darius,M,Fighter/Tank,"Hemorrhage: Darius aims his attacks strategically, causing his target to bleed. This effect stacks up to five times. Enemies that reach max Hemorrhage cause Darius to gain Noxian Might, greatly increasing his damage.",Decimate: Darius winds up and swings his axe in a wide circle. Enemies struck by the blade take more damage than those struck by the handle.,"Crippling Strike: Darius's next attack strikes an enemy's crucial artery. As they bleed out, their Movement Speed is slowed.","Apprehend: Darius hones his axe, passively causing his physical damage to ignore a percentage of his target's Armor. When activated, Darius sweeps up his enemies with his axe's hook and pulls them to him.","Noxian Guillotine: Darius leaps to an enemy champion and strikes a lethal blow, dealing true damage. This damage is increased for each stack of Hemorrhage on the target. If Noxian Guillotine is a killing blow, its mana cost is refunded and its cooldown is refreshed for a brief duration.",RaiderGO #TWTV2,MarcinaTORRRRRRR #Grind,불이과 #KR1,,
Diana,M,Fighter/Mage,Moonsilver Blade: Gains Attack Speed. Every third strike cleaves nearby enemies for additional magic damage.,"Crescent Strike: Diana swings her blade to unleash a bolt of lunar energy that deals damage in an arc before exploding. Afflicts enemies struck with the Moonlight debuff, revealing them if they are not stealthed.","Pale Cascade: Diana creates three orbiting spheres that detonate on contact with enemies to deal damage in an area. She also gains a temporary shield that absorbs damage. If her third sphere detonates, the shield gains additional strength.",Moonfall: Diana draws in and slows all nearby enemies.,Lunar Rush: Diana dashes to an enemy and deals magic damage. Lunar Rush has no cooldown when used to teleport to a target afflicted with Moonlight.,	모준혁이 #KR1,dhdwdowas1 #kr2,	Barryy #777,,
Dr. Mundo,M,Fighter/Tank,Adrenaline Rush: Dr. Mundo regenerates 0.3% of his maximum Health each second.,"Infected Cleaver: Dr. Mundo hurls his cleaver, dealing damage equal to a portion of his target's current Health and slowing them for a short time. Dr. Mundo delights in the suffering of others, so he is returned half of the Health cost when he successfully lands a cleaver (increased to the full Health cost on killing blows).",Burning Agony: Dr. Mundo drains his Health to reduce the duration of disables and deal continual damage to nearby enemies.,"Masochism: Masochism deals bonus magic damage on Dr. Mundo's next basic attack and increases Attack Damage by a flat amount for 5 seconds. In addition, Dr. Mundo also gains an additional amount of Attack Damage for each percentage of Health he is missing.",Sadism: Dr. Mundo sacrifices a portion of his Health for increased Movement Speed and drastically increased Health Regeneration.,Trailblaze #Rails,	I am Súnlight #NA1,꿀잼사과잼 #KR1,,
Draven,R,Marksman,"League of Draven: Draven gains his fans' Adoration when he catches a Spinning Axe or kills a minion, monster, or tower. Killing enemy champions grants Draven bonus gold based on how much Adoration he has.","Spinning Axe: Draven's next attack will deal bonus physical damage. This axe will ricochet off the target high up into the air. If Draven catches it, he automatically readies another Spinning Axe. Draven can have two Spinning Axes at once.",Blood Rush: Draven gains increased Movement Speed and Attack Speed. The Movement Speed bonus decreases rapidly over its duration. Catching a Spinning Axe will refresh the cooldown of Blood Rush.,"Stand Aside: Draven throws his axes, dealing physical damage to targets hit and knocking them aside. Targets hit are slowed.",Whirling Death: Draven hurls two axes to deal physical damage. Whirling Death slowly reverses direction and returns to Draven after striking an enemy. Draven may also activate this while the axes are in flight to cause it to return early. Deals less damage for each unit hit and resets when the axes reverse direction.,zxcvfs #5093,DRPEPPERBACKSHOT #我爱我的狗,	yyyyyyyye #mhm,,
Ekko,M,Assassin/Fighter,"Z-Drive Resonance: Ekko's Zero-Drive charges his spells and attacks with temporal energy. The third hit deals bonus damage and saps the target's movement speed. If the target is a champion, Ekko gains accelerated movement speed.","Timewinder: Ekko throws a temporal grenade that expands into a time-distortion field upon hitting an enemy champion, slowing and damaging anyone caught inside. After a delay, the grenade rewinds back to Ekko, dealing damage on its return.","Parallell Convergence: Ekko splits the timeline, creating an anomaly after a few seconds that slows enemies caught inside. If Ekko enters the anomaly, he gains shielding and triggers a detonation, stunning enemies by suspending them in time.","Phase Dive: Ekko rolls evasively while charging up his Z-Drive. His next attack deals bonus damage and warps reality, teleporting him to his target.","Chronobreak: Ekko shatters his timeline, becoming untargetable and rewinding to a more favorable point in time. He returns to whenever he was a few seconds ago, and heals for a percentage of the damage received in that duration. Enemies near his arrival zone take massive damage.",bester #eee,	Douyin jugtao #ekko,행운 ran treasure #52799,,
Elise,M,Mage/Fighter,"Spider Queen: Human Form - When Elise's mage abilities hit an enemy, she gains a dormant Spiderling. Spider Form - Basic attacks deal bonus magic damage and restore health to Elise.",Neurotoxin/Venomous Bite: Human Form - Deals damage based upon how high the target's Health is. Spider Form - Lunges at an enemy and deals damage based upon how low their Health is.,Volatile Spiderling / Skittering Frenzy: Human Form - Releases a venom-gorged Spiderling that explodes when it nears a target. Spider Form - Elise and her Spiderlings gain Attack Speed.,Cocoon/Rappel: Human Form - Stuns the first enemy unit hit and reveals them if they are not stealthed. Spider Form - Elise and her Spiderlings ascend into the air and then descend upon target enemy. ,"Spider Form: Transforms into a menacing spider, reducing her attack range in exchange for movement speed, new abilities, and a Spiderling swarm that will attack her foes. Sacrifices 425 attack range in exchange for 25 movement speed and access to arachnid abilities.",Agurin #DND,Vaundy #88888,EllISKING #KR1,,
Evelynn,M,Assassin/Mage,"Shadow Walk: When out of combat, Evelynn enters stealth only being able to be seen by nearby enemy champions or true sight. While stealthed, she rapidly regenerates Mana.","Hate Spike: Evelynn fires a line of spikes through an enemy, dealing damage to all enemies in its path.","Dark Frenzy: Evelynn passively increases her Movement Speed when hitting enemy champions with her spells. Upon activation, Evelynn breaks free from slows affecting her and gains a massive Movement Speed boost for a short duration.","Ravage: Evelynn slashes her target twice, dealing damage with each hit. She then gains increased Attack Speed for a short duration.",Agony's Embrace: Evelynn summons spikes from the ground to deal damage and slow enemies in the area. She then gains a shield based on how many enemy champions were hit.,	yexiu1337 #000,	0730 #KR1,박주완 #1122,,
Ezreal ,R,Marksman/Mage,Rising Spell Force: Hitting a target with any of Ezreal's abilities increases his Attack Speed by 10% for 6 seconds (effect stacks up to 5 times).,Mystic Shot: Ezreal fires a damaging bolt of energy which reduces all of his cooldowns by 1 second if it strikes an enemy unit.,"Essence Flux: Ezreal fires a fluctuating wave of energy, dealing magic damage to enemy champions, while increasing the Attack Speed of allied champions.",Arcane Shift: Ezreal teleports to a target nearby location and fires a homing bolt which strikes the nearest enemy unit.,Trueshot Barrage: Ezreal winds up for 1 second to fire a powerful barrage of energy missiles which do massive damage to each unit they pass through (deals 10% less damage to each unit it passes through).,ANDA #RIEL,focus yourself #2025,	JEZUUU #0814,,
Fiddlesticks,R,Mage/Support,Dread: Fiddlesticks' spells reduce the Magic Resistance of his targets.,"Terrify: Strikes a target unit with fear, causing it to flee in terror for a duration.","Drain: Fiddlesticks saps the life force of an enemy, dealing damage to a target over time and healing himself.","Dark Wind: A wisp of wind strikes an enemy unit and then bounces to nearby enemy units, dealing damage and silencing the victims.","Crowstorm: A murder of crows flock wildly around Fiddlesticks, dealing damage each second to all enemy units in the area.",	Nikkone #NA1,채팅치지마시바 #KR1,좋은 밤 좋은 꿈 #안 녕,,
Fiora,M,Fighter/Assassin,"Duelist's Dance: Fiora challenges nearby enemy Champions to dodge her. She calls out a direction from which she will try to strike. If she can complete her own challenge, she receives a small bonus and calls out a new direction.","Lunge: Fiora lunges in a direction and slashes a nearby enemy, dealing physical damage and applying on-hit effects.","Riposte: Fiora parries all incoming damage and disables for a short time, then stabs in a direction. This stab slows the first enemy champion hit, or stuns them if Fiora blocked an immobilizing disable with this ability.","Bladework: Fiora has increased attack speed for the next two attacks. The first attack slows the target, and the second attack will critically strike.","Grand Challenge: Fiora reveals all four Vitals on the target champion and gains movement speed while near them. If Fiora hits all 4 Vitals or if the target dies after she has hit at least one, Fiora and her allies in the area are healed over the next few seconds.",Perly khder #SIL,Comeback #pure,질병게임1 #KR1,,
Fizz,M,Assassin/Fighter,Nimble Fighter: Fizz's dexterity allows him to move through units and take less physical damage from basic attacks.,"Urchin Strike: Fizz strikes his target and runs them through, dealing magic damage and applying on hit effects.","Seastone Trident: Fizz's attacks passively rend his enemies, dealing magic damage over several seconds based on the target's missing Health. When activated, for a short duration, Fizz's attacks deal additional magic damage.","Playful/Trickster: Fizz hops into the air, landing gracefully upon his spear and becoming untargetable. From this position, Fizz can either slam the ground or choose to jump again before smashing back down.","Chum the Waters: Fizz releases a magical fish toward a location that attaches to any champion that touches it, slowing the target and amplifying all of Fizz's magic damage to them (except for Chum the Waters). After a short delay, a shark erupts from the ground, knocking up the target and knocking any nearby enemies aside. All enemies hit are dealt magic damage and slowed.",Only Spatula #999,	いちご #cakie,	부 산 #777,,
Galio,M,Tank/Mage,Runic Skin: Galio converts 50% of his total Magic Resistance into Ability Power.,"Resolute Smite: Galio fires a concussive blast from his eyes, slowing and dealing damage to enemies caught near the impact point.","Bulwark: Galio shields an ally Champion, increasing their Armor and Magic Resistance, and restoring Galio's Health each time that Champion suffers damage.","Righteous Gust: Galio claps his wings, unleashing a gust of concussive wind that damages enemies and leaves a directional draft in its wake that increases ally Movement Speed.","Idol of Durand: Galio assumes the form of a statue, taunting nearby enemies and storing concussive energy as they attack him. Galio then bursts from his statue shell, releasing the stored energy to damage surrounding foes.",모준혁이 #KR1,Ahluy #S T,Iove galio #galio,,
Gangplank,M,Fighter,"Trial by Fire: Every few seconds, Gangplank's melee strike will set his opponent on fire.","Parrrley: Shoots target, plundering Gold for each enemy unit killed.",Remove Scurvy: Eats citrus to cure crowd control effects and restore Health.,"Powder Keg: Gangplank uncovers a powder keg at target location. If he attacks it, it explodes, spreading the attack's damage to enemies in the area, slowing them.","Cannon Barrage: Gangplank signals his ship to bombard an area, slowing and damaging enemies.",Plαnk #Plank,	송플랭크 #김채연전용,	Phago #0312,,
Garen,M,Fighter/Tank,"Perseverance: If Garen has not recently been struck by damage or enemy abilities, he regenerates a percentage of his maximum health each second. Minion damage does not stop Perseverance.","Decisive Strike: Garen gains a burst of movement speed, breaking free of all slows affecting him. His next attack strikes a vital area of his foe, dealing bonus damage and silencing them.",Courage: Garen passively increases his armor and magic resist by killing enemies. He may also activate this ability to grant himself a shield that reduces incoming damage for a short time.,"Judgment: Garen performs a dance of death with his sword, dealing damage around him for the duration.",Demacian Justice: The enemy champion with the most recent kills is the Villain. Garen's attacks deal additional true damage to that champion. Garen can call upon the might of Demacia to deal a finishing blow to an enemy champion that deals true damage based upon how much health his target has missing. ,타락한 자의 눈 가렌 #다르킨,Dieu inarrêtable #Sauvé,MCDONALDS GAREN #PALCO,,
Gnar,M,Fighter/Tank,"Rage Gene: While in combat Gnar generates Rage. At maximum Rage his next ability will transform him into Mega Gnar, granting increased survivability and access to new spells.","Boomerang Throw/Boulder Toss: Gnar throws a boomerang that damages and slows enemies it hits before returning to him. If he catches the boomerang its cooldown is reduced. Mega Gnar instead throws a boulder that stops on the first unit hit, damaging and slowing everything nearby. ","Hyper/Wallop: Gnar's attacks and spells hype him up, dealing bonus damage and granting him Movement Speed. Mega Gnar is too enraged to be hyper and instead can rear up on his hind legs and smash down on the area in front of him, stunning enemies in an area.","Hop/Crunch: Gnar leaps to a location and bounces off the head of any unit he lands on, traveling further. Mega Gnar is too large to bounce and instead lands with earth-shattering force, dealing damage in an area around him.","GNAR!: Mega Gnar throws everything around him in a chosen direction, dealing damage and slowing them. Any enemy that hits a wall is stunned and takes bonus damage.",씨맥의 노예 #KR1,GOONERKING #LFT,민이나르 #수아단쵸,,
Gragas,M,Fighter/Mage,"Happy Hour: On ability use, Gragas takes a drink restoring 4% of his max Health. This effect can only happen every 8 seconds.","Barrel Roll: Gragas rolls his cask to a location, which can be activated to explode or will explode on its own after 4 seconds. Enemies struck by the blast have their Movement Speed slowed.","Drunken Rage: Gragas guzzles down brew from his cask for 1 second. After finishing, he becomes drunkenly empowered, dealing more damage on his next basic attack and reducing damage received.","Body Slam: Gragas charges to a location and collides with the first enemy unit he comes across, dealing damage to all nearby enemy units and stunning them.","Explosive Cask: Gragas hurls his cask to a location, dealing damage and knocking back enemies caught in the blast radius.",	Cicciopotetor #EUW,	Trailblaze #Rails,	Sloppy #BOMB,,
Graves,R,Marksman,True Grit: Graves gains increasing Armor and Magic Resistance the longer he remains in combat.,"Buckshot: Graves fires three bullets in a cone, damaging all enemies in their paths.",Smoke Screen: Graves fires a smoke canister at the target area creating a cloud of smoke. Enemies inside the smoke cloud have reduced sight range and Movement Speed.,Quickdraw: Graves dashes forward gaining an Attack Speed boost for several seconds. Hitting enemies with basic attacks lowers the cooldown of this skill.,"Collateral Damage: Graves fires an explosive shell dealing heavy damage to the first champion it hits. After hitting a champion or reaching the end of its range, the shell explodes dealing damage in a cone.",25 02 2003 #123,	Suzy #7897,アニエル姫 #cid,,
Gwen,,,,,,,,dyxiaofang #1234,Ninkey #NA1,Sati M #JNGL,,
Hecarim,M,Fighter/Tank,Warpath: Hecarim gains Attack Damage equal to a percentage of his bonus Movement Speed.,Rampage: Hecarim cleaves nearby enemies dealing physical damage.,Spirit of Dread: Hecarim deals magic damage to nearby enemies for a short duration. Hecarim gains Health equal to a percentage of any damage those enemies suffer.,Devastating Charge: Hecarim gains increasing Movement Speed for a short duration. His next attack knocks the target back and deals additional physical damage based on the distance he has traveled since activating the ability.,"Onslaught of Shadows: Hecarim summons spectral riders and charges forward, dealing magic damage in a line. Hecarim creates a shockwave when he finishes his charge, causing nearby enemies to flee in terror.",	이 차가 식기전에 #KR1,	수라의 길을 걷다 #KR1,Algerian loner #2007,,
Heimerdinger,R,Mage/Support,Techmaturgical Repair Bots: Heimerdinger gives nearby allied H-28G Turrets and Champions increased Health Regeneration.,H-28G Evolution Turret: Heimerdinger lays down a rapid-fire cannon turret equipped with a secondary pass-through beam attack (turrets deal half damage to towers).,Hextech Micro-Rockets: Heimerdinger fires long-range rockets that converge on his cursor.,"CH-2 Electron Storm Grenade: Heimerdinger lobs a grenade at a location, dealing damage to enemy units, as well as stunning anyone directly hit and slowing surrounding units.","Upgrade: Heimerdinger invents an upgrade, causing his next spell to have increased effects.",Turret Syndrome #HEIM,	Mystogan #DING,	18G3 #EUW,,
Hwei,,,,,,,,Only Spatula #999,Saigo No Inori #EUW,dayMid #KR1,,
Illaoi,,,,,,,,	G1psyDanger #KR1,	ILLAKlNG #2003,"
EgirlFeetEnjoyer #SOCKS",,
